cell_line,sample,bases_all,bases_deduped,bases_deduped_mapped,coverage_all,coverage_deduped,coverage_deduped_mapped,pileup_covered,assay_type,prop_pileup_cov,eff_cov
HG01500,HG01500-1-0-0-2,4331899800,4260167200,4231091900,1.3127,1.29096,1.28215,59638513,bgi_1x,0.7045672037833887,1.2193138919715953
HG01699,HG01699-1-0-0-2,4370832200,4312337000,4298144300,1.32449,1.30677,1.30247,60721161,bgi_1x,0.7173575675210238,1.2635726696882916
HG01756,HG01756-1-0-0-2,3202076000,3135709100,3125221700,0.970326,0.950215,0.947037,47574743,bgi_1x,0.5620462677569332,0.8256420083336199
HG01762,HG01762-1-0-0-2,4348926000,4253693000,4233612700,1.31786,1.289,1.28291,61471639,bgi_1x,0.7262236870696609,1.2954438821772096
HG01770,HG01770-1-0-0-2,3421432000,3376295700,3361570300,1.0368,1.02312,1.01866,53847577,bgi_1x,0.6361532984130693,1.0110226495402028
HG01777,HG01777-1-0-0-2,4350408400,4274378300,4221996200,1.31831,1.29527,1.27939,60962805,bgi_1x,0.7202123408684248,1.2737243237578548
HG01781,HG01781-1-0-0-2,4399201800,4339755500,4296012100,1.33309,1.31508,1.30182,61630499,bgi_1x,0.7281004532793253,1.3023225944261065
HG01879,HG01879-1-0-0-2,4157815400,4078421300,4072203900,1.25994,1.23589,1.234,60151519,bgi_1x,0.7106278378395078,1.2400416609785212
HG01889,HG01889-1-0-0-2,4201771200,4135379600,4125649400,1.27326,1.25315,1.2502,60718321,bgi_1x,0.7173240158652548,1.2634539696607592
HG02009,HG02009-1-0-0-2,4220966200,4131022800,4121439300,1.27908,1.25183,1.24892,60048046,bgi_1x,0.70940541161508,1.2358261502322887
HG02107,HG02107-1-0-0-2,3834663400,3776322900,3767922900,1.16202,1.14434,1.14179,57885508,bgi_1x,0.6838572670505881,1.151561480826115
HG02215,HG02215-1-0-0-2,4406429200,4320914000,4310102500,1.33528,1.30937,1.30609,60029228,bgi_1x,0.7091830964537211,1.2350614072738888
HG02282,HG02282-1-0-0-2,4444887400,4354288800,4328501000,1.34694,1.31948,1.31167,62770234,bgi_1x,0.741565240739805,1.3531119988595093
HG02759,HG02759-1-0-0-2,4369076400,4279628100,4264379100,1.32396,1.29686,1.29224,59933744,bgi_1x,0.7080550519820883,1.2311900286738928
HG02878,HG02878-1-0-0-2,4421219600,4327606400,4318232500,1.33976,1.3114,1.30856,61365054,bgi_1x,0.7249644957914468,1.290855083436135
HG02879,HG02879-1-0-0-2,4175890400,4103016400,4093702900,1.26542,1.24334,1.24052,60627585,bgi_1x,0.7162520640913652,1.2596689845437852
HG02922,HG02922-1-0-0-2,4159290600,4076606200,4069851400,1.26039,1.23534,1.23329,59985899,bgi_1x,0.7086712092379428,1.2333027844661912
HG02941,HG02941-1-0-0-2,4214331600,4121876600,4108099300,1.27707,1.24905,1.24488,57818565,bgi_1x,0.6830664049054694,1.1490630062457525
HG02982,HG02982-1-0-0-2,4395995400,4296184100,4287289800,1.33212,1.30187,1.29918,61222256,bgi_1x,0.7232774854602896,1.2847400274484617
HG03054,HG03054-1-0-0-2,4416504200,4321555800,4310996700,1.33833,1.30956,1.30636,61489757,bgi_1x,0.7264377324567105,1.2962260137703303
HG03060,HG03060-1-0-0-2,4336021000,4249155300,4230346200,1.31395,1.28762,1.28192,60812620,bgi_1x,0.7184380607903785,1.2674028228898
HG03063,HG03063-1-0-0-2,4386819800,4279969300,4271077000,1.32934,1.29696,1.29427,59683313,bgi_1x,0.7050964693391797,1.2211069908323706
HG03077,HG03077-1-0-0-2,4389920400,4300836800,4293085400,1.33028,1.30328,1.30093,59908260,bgi_1x,0.707753984941379,1.2301593141083076
HG03127,HG03127-1-0-0-2,4213002800,4136311300,4128731300,1.27667,1.25343,1.25113,60203714,bgi_1x,0.7112444676538943,1.2421748576894842
HG03298,HG03298-1-0-0-2,4421772600,4343362300,4334886300,1.33993,1.31617,1.3136,61476987,bgi_1x,0.7262868681453835,1.2956746850779957
HG03520,HG03520-1-0-0-2,4396945800,4316401100,4295032300,1.33241,1.308,1.30152,61511895,bgi_1x,0.7266992699762217,1.2971825149072318
NA12342,NA12342-1-0-0-2,4385924200,4311323100,4301554000,1.32907,1.30646,1.3035,60394105,bgi_1x,0.7134937399403364,1.2499948929450633
NA12842,NA12842-1-0-0-2,4410061200,4322016300,4307592900,1.33638,1.3097,1.30533,61443588,bgi_1x,0.7258922935851633,1.294234160728105
NA12878,NA12878-1-0-0-2,4327380400,4245693100,4228681100,1.31133,1.28657,1.28142,60873738,bgi_1x,0.7191601065992811,1.2699705464061601
NA18912,NA18912-1-0-0-2,2899156000,2855886100,2847538000,0.878532,0.86542,0.86289,48512016,bgi_1x,0.5731191765799897,0.8512504067706071
NA19017,NA19017-1-0-0-2,4120071200,4023382800,4010964500,1.24851,1.21921,1.21544,58345162,bgi_1x,0.689287602536784,1.1688875616630112
NA19310,NA19310-1-0-0-2,4396672400,4323818300,4308821700,1.33232,1.31025,1.3057,61420348,bgi_1x,0.7256177370780966,1.293233024717066
NA19350,NA19350-1-0-0-2,4420472800,4337780400,4328025800,1.33954,1.31448,1.31152,61814322,bgi_1x,0.7302721314548203,1.3103417225278597
NA19351,NA19351-1-0-0-2,4426094400,4342979100,4333896500,1.34124,1.31605,1.3133,61814536,bgi_1x,0.7302746596429662,1.3103510956786881
NA19471,NA19471-1-0-0-2,4413618400,4332086500,4322574800,1.33746,1.31275,1.30987,60247839,bgi_1x,0.7117657587844585,1.2439817918719793
NA19625,NA19625-1-0-0-2,4455232200,4369830200,4362809200,1.35007,1.32419,1.32206,61347025,bgi_1x,0.7247515018471309,1.290080959696253
NA19923,NA19923-1-0-0-2,4227326800,4154869200,4078310200,1.28101,1.25905,1.23585,60335938,bgi_1x,0.7128065571371289,1.2475992733261179
NA20298,NA20298-1-0-0-2,4199076400,4117645900,4105114800,1.27245,1.24777,1.24397,59697834,bgi_1x,0.7052680199002431,1.2216888776515096
NA20357,NA20357-1-0-0-2,4206237000,4126272700,4105837000,1.27462,1.25039,1.24419,59709201,bgi_1x,0.7054023092210618,1.2221446134808043
NA20362,NA20362-1-0-0-2,4152343200,4064005200,4057662500,1.25829,1.23152,1.22959,58224831,bgi_1x,0.6878660165190632,1.1643227491193742
NA20502,NA20502-1-0-0-2,4397713400,4317198700,4309049400,1.33264,1.30824,1.30577,59864005,bgi_1x,0.7072311579955858,1.2283719164766937
NA20507,NA20507-1-0-0-2,4408858400,4341178200,4332146800,1.33602,1.31551,1.31277,62776814,bgi_1x,0.7416429766183118,1.3534128390884141
NA20513,NA20513-1-0-0-2,4390502600,4307811000,4299943200,1.33046,1.3054,1.30301,61799701,bgi_1x,0.7300993994974269,1.3097015340530092
NA20805,NA20805-1-0-0-2,4399713600,4319992800,4310312100,1.33325,1.30909,1.30616,62067145,bgi_1x,0.7332589730979397,1.3214770279712749
HG02568,HG02568-1-0-0-2,4189337000,4110421400,4102982000,1.2695,1.24558,1.24333,59654219,bgi_1x,0.7047527538909613,1.2199421512672548
