cell_line,sample,bases_all,bases_deduped,bases_deduped_mapped,coverage_all,coverage_deduped,coverage_deduped_mapped,pileup_covered,assay_type,prop_pileup_cov,eff_cov
HG00234,HG00234-0-2-1-0,2327076704,2122836369,2116785195,0.705175,0.643284,0.64145,31324767,ilmn_0.5x,0.3700696476848135,0.4621460175885247
HG00234,HG00234-1-0-1-0,4919428396,4388828590,4363552398,1.49074,1.32995,1.32229,45789438,ilmn_1x,0.5409547400095781,0.7786064681391881
HG00234,HG00234-1-1-1-0,4817992334,4378794036,4358723267,1.46,1.32691,1.32083,45086027,ilmn_1x,0.5326446682715306,0.7606654289913828
HG00234,HG00234-1-2-1-0,4508453508,4054203077,4039344526,1.3662,1.22855,1.22404,48314997,ilmn_1x,0.5707916013448023,0.8458127002548909
HG00239,HG00239-0-0-1-0,2465500216,2314478925,2304795899,0.747121,0.701357,0.698423,33419404,ilmn_0.5x,0.3948156123273462,0.502222094372505
HG00239,HG00239-0-1-1-0,3122683020,2854646846,2848396050,0.946268,0.865044,0.86315,38634250,ilmn_0.5x,0.4564236115807982,0.6095850332275996
HG00239,HG00239-0-2-1-0,2337570298,2132171038,2126473959,0.708355,0.646112,0.644386,33676515,ilmn_0.5x,0.39785311224509146,0.507253863843504
HG00239,HG00239-1-0-1-0,5827093020,5240935784,5218073780,1.76579,1.58816,1.58123,51930586,ilmn_1x,0.6135060370947343,0.9506390309854087
HG00239,HG00239-1-1-1-0,5459048942,4988516483,4963732098,1.65426,1.51167,1.50416,50939887,ilmn_1x,0.6018019554684704,0.9208057981337383
HG00239,HG00239-1-2-1-0,5844040656,5286906828,5271453639,1.77092,1.60209,1.59741,60042009,ilmn_1x,0.7093340907186445,1.235580749428072
HG00240,HG00240-0-0-1-0,2111253008,1983018070,1972103941,0.639774,0.600915,0.597607,28696078,ilmn_0.5x,0.3390144123145729,0.4140232431723521
HG00240,HG00240-0-1-1-0,1974826320,1808783247,1803201683,0.598432,0.548116,0.546425,26575191,ilmn_0.5x,0.3139583311354439,0.3768169113158922
HG00240,HG00240-0-2-1-0,1642073358,1496252054,1491107786,0.497598,0.45341,0.451851,24436416,ilmn_0.5x,0.28869092178082406,0.3406482344685294
HG00240,HG00240-1-0-1-0,5550754262,5042081921,5028867609,1.68205,1.5279,1.5239,51005237,ilmn_1x,0.602573997970054,0.9227465206326091
HG00240,HG00240-1-1-1-0,4674013230,4309490472,4297710962,1.41637,1.30591,1.30234,47567985,ilmn_1x,0.5619664289929592,0.8254597254080596
HG00240,HG00240-1-2-1-0,4862746318,4445882430,4432198055,1.47356,1.34724,1.34309,53716967,ilmn_1x,0.6346102766665991,1.0067907598633936
HG00242,HG00242-0-0-1-0,2151511118,2015195868,2007988789,0.651973,0.610665,0.608481,28373883,ilmn_0.5x,0.33520801240948156,0.4082810878743617
HG00242,HG00242-0-1-1-0,2153182084,1965117775,1959546932,0.652479,0.59549,0.593802,27361266,ilmn_0.5x,0.32324499233563225,0.3904459509371678
HG00242,HG00242-0-2-1-0,2458706122,2234110836,2226076881,0.745062,0.677003,0.674569,32551689,ilmn_0.5x,0.38456445916343507,0.4854250653461945
HG00242,HG00242-1-0-1-0,4900049962,4457502484,4428480284,1.48486,1.35076,1.34196,45646883,ilmn_1x,0.5392706004715023,0.7749443941675211
HG00242,HG00242-1-1-1-0,4599345844,4252425307,4224761352,1.39374,1.28861,1.28023,44008922,ilmn_1x,0.5199197893324613,0.7338020834834066
HG00242,HG00242-1-2-1-0,4985702900,4563101465,4539920700,1.51082,1.38276,1.37573,53871045,ilmn_1x,0.636430548503768,1.011784936995462
HG00244,HG00244-0-0-1-0,2173583996,2042650084,2031240524,0.658662,0.618985,0.615527,29762132,ilmn_0.5x,0.3516087351452259,0.43326096105779327
HG00244,HG00244-0-1-1-0,2282985308,2089780959,2083178937,0.691814,0.633267,0.631266,28090837,ilmn_0.5x,0.3318641173535791,0.4032637089965909
HG00244,HG00244-0-2-1-0,2431110570,2221267531,2216478717,0.7367,0.673111,0.67166,30027943,ilmn_0.5x,0.3547490165436717,0.4381159162368368
HG00244,HG00244-1-0-1-0,4131628478,3738187861,3718493837,1.25201,1.13278,1.12682,39873458,ilmn_1x,0.47106356941251015,0.6368870233664714
HG00244,HG00244-1-1-1-0,4173426486,3756955500,3743873162,1.26467,1.13847,1.13451,39039311,ilmn_1x,0.46120898736861676,0.6184275149276908
HG00244,HG00244-1-2-1-0,4433810584,4044862519,4032788106,1.34358,1.22572,1.22206,47904384,ilmn_1x,0.5659406344327482,0.8345739672149063
HG00250,HG00250-0-0-1-0,2138295598,2005090193,1996782324,0.647968,0.607603,0.605086,29023204,ilmn_0.5x,0.34287906687269115,0.419887208749165
HG00250,HG00250-0-1-1-0,2123147278,1939641810,1932019783,0.643378,0.58777,0.585461,26420189,ilmn_0.5x,0.31212714319618673,0.37415125928387943
HG00250,HG00250-0-2-1-0,1908964046,1740621092,1734503327,0.578474,0.527461,0.525607,25381195,ilmn_0.5x,0.2998525062124021,0.35646426072314563
HG00250,HG00250-1-0-1-0,5567679550,5032154275,5008730551,1.68718,1.5249,1.5178,49742382,ilmn_1x,0.5876546753482127,0.8858941140675554
HG00250,HG00250-1-1-1-0,5913047052,5317622040,5299169991,1.79183,1.6114,1.60581,51131637,ilmn_1x,0.6040672829310358,0.9265109885548872
HG00250,HG00250-1-2-1-0,5971432108,5441320183,5423495086,1.80952,1.64888,1.64348,59967485,ilmn_1x,0.7084536669177567,1.2325563387134468
HG00251,HG00251-0-0-1-0,1873591994,1759911191,1740952537,0.567755,0.533306,0.527561,21562425,ilmn_0.5x,0.254737697585435,0.29401903879158664
HG00251,HG00251-0-1-1-0,1257167714,1150578022,1141053999,0.38096,0.34866,0.345774,15276673,ilmn_0.5x,0.18047805415140367,0.1990341015978238
HG00251,HG00251-0-2-1-0,1294313714,1183645965,1170810361,0.392216,0.358681,0.354791,15949463,ilmn_0.5x,0.18842637051927533,0.20878016357323279
HG00251,HG00251-1-0-1-0,4350033368,3962790546,3924404685,1.31819,1.20085,1.18921,41678527,ilmn_1x,0.4923885883305049,0.6780390617762216
HG00251,HG00251-1-1-1-0,3521738874,3187490559,3167017677,1.06719,0.965906,0.959702,32908993,ilmn_1x,0.3887856355059877,0.49230753928883014
HG00251,HG00251-1-2-1-0,3241424286,2976067607,2960240089,0.98225,0.901839,0.897042,36857945,ilmn_1x,0.4354384095031332,0.5717057950608772
HG00255,HG00255-0-0-1-0,2686374560,2514893977,2499513117,0.814053,0.762089,0.757428,35376096,ilmn_0.5x,0.41793189980261114,0.5411678274474767
HG00255,HG00255-0-1-1-0,2760187890,2516188802,2505809515,0.836421,0.762481,0.759336,35483183,ilmn_0.5x,0.4191970216904012,0.5433436875411745
HG00255,HG00255-0-2-1-0,2611468594,2372271910,2363821648,0.791354,0.71887,0.71631,34547361,ilmn_0.5x,0.4081412549280914,0.5244872788665946
HG00255,HG00255-1-0-1-0,4684222642,4260169946,4246157297,1.41946,1.29096,1.28671,47257618,ilmn_1x,0.5582997646457674,0.8171238275425045
HG00255,HG00255-1-1-1-0,5101284038,4629333236,4615597068,1.54584,1.40283,1.39867,47553932,ilmn_1x,0.5618004073667197,0.8250807814577152
HG00255,HG00255-1-2-1-0,5023755806,4613227123,4600902956,1.52235,1.39795,1.39421,55714202,ilmn_1x,0.6582055376558916,1.0735457098827155
HG00262,HG00262-0-0-1-0,2241551814,2104536528,2088669146,0.679258,0.637738,0.63293,31291936,ilmn_0.5x,0.36968178345574704,0.46153048149366716
HG00262,HG00262-0-1-1-0,2009384482,1837670755,1826100682,0.608904,0.55687,0.553364,26072987,ilmn_0.5x,0.30802531151087964,0.368205901361295
HG00262,HG00262-0-2-1-0,2074709196,1890666621,1882076382,0.6287,0.572929,0.570326,28388197,ilmn_0.5x,0.3353771174801421,0.4085354931399783
HG00262,HG00262-1-0-1-0,4766512206,4302696378,4284865090,1.4444,1.30385,1.29844,45464207,ilmn_1x,0.5371124729119112,0.7702711764622087
HG00262,HG00262-1-1-1-0,4685827772,4206387823,4181204798,1.41995,1.27466,1.26703,44220830,ilmn_1x,0.5224232626672062,0.7390304255171386
HG00262,HG00262-1-2-1-0,4353943966,3957849977,3939635602,1.31938,1.19935,1.19383,49934005,ilmn_1x,0.5899185024374392,0.8913993644939942
HG00268,HG00268-0-0-1-0,2592306694,2442613599,2418919887,0.785547,0.740186,0.733006,36220129,ilmn_0.5x,0.4279032746876775,0.5584472017017978
HG00268,HG00268-0-1-1-0,2513091188,2304901901,2294268179,0.761543,0.698455,0.695233,34484782,ilmn_0.5x,0.4074019489188091,0.523238932607461
HG00268,HG00268-0-2-1-0,3087618404,2826845028,2798415654,0.935642,0.85662,0.848005,40105048,ilmn_0.5x,0.473799565172904,0.642073084023006
HG00268,HG00268-1-0-1-0,4559412082,4160391411,4142984282,1.38164,1.26072,1.25545,42990109,ilmn_1x,0.507883569942012,0.7090399440268603
HG00268,HG00268-1-1-1-0,4578377682,4235527199,4221359775,1.38739,1.28349,1.2792,45554061,ilmn_1x,0.5381740047701712,0.7725670925463539
HG00268,HG00268-1-2-1-0,4916365814,4509510810,4496212089,1.48981,1.36652,1.36249,52875086,ilmn_1x,0.624664325430552,0.979934521218428
HG00330,HG00330-0-0-1-0,3349152518,3147363970,3121380645,1.01489,0.953747,0.945873,42411113,ilmn_0.5x,0.501043332447798,0.695236025574047
HG00330,HG00330-0-1-1-0,4985131818,4553635879,4540608203,1.51065,1.37989,1.37594,54933340,ilmn_0.5x,0.6489804626463804,1.0469133950892173
HG00330,HG00330-0-2-1-0,3124139264,2850886342,2835955764,0.946709,0.863905,0.859381,38571691,ilmn_0.5x,0.4556845418507819,0.6082263138915764
HG00330,HG00330-1-0-1-0,4491428258,4094371644,4070348752,1.36104,1.24072,1.23344,43110765,ilmn_1x,0.509308995497805,0.7119406680245687
HG00330,HG00330-1-1-1-0,4735835650,4372499601,4362259838,1.4351,1.325,1.3219,45196365,ilmn_1x,0.5339481973540053,0.7634584865584203
HG00330,HG00330-1-2-1-0,4819178590,4417891711,4405255276,1.46036,1.33876,1.33493,50764391,ilmn_1x,0.5997286521653654,0.915612592276211
HG00360,HG00360-0-0-1-0,1920095766,1807926775,1744743694,0.581847,0.547857,0.52871,19125422,ilmn_0.5x,0.22594703358410873,0.2561149756719016
HG00360,HG00360-0-1-1-0,2282255676,2083430956,2059273825,0.691593,0.631343,0.624022,23270298,ilmn_0.5x,0.2749144465266292,0.3214656262986237
HG00360,HG00360-0-2-1-0,2064465356,1889007433,1838994119,0.625596,0.572426,0.557271,21318929,ilmn_0.5x,0.25186104477800436,0.29016654924722307
HG00360,HG00360-1-0-1-0,4626757478,4204381788,4180468522,1.40205,1.27406,1.26681,41692082,ilmn_1x,0.4925487266030216,0.6783545856866189
HG00360,HG00360-1-1-1-0,4486086482,4146698580,4125959938,1.35942,1.25658,1.25029,41078214,ilmn_1x,0.48529651258064815,0.6641642967113489
HG00360,HG00360-1-2-1-0,3029296768,2777331071,2768382056,0.917969,0.841615,0.838904,31725008,ilmn_1x,0.3747980801695313,0.46968060969341907
HG00364,HG00364-0-0-1-0,2256940526,2108596314,2090165254,0.683921,0.638969,0.633383,26944394,ilmn_0.5x,0.31832008182729027,0.38319505950013033
HG00364,HG00364-0-1-1-0,1913033798,1738262321,1719611858,0.579707,0.526746,0.521095,23287707,ilmn_0.5x,0.2751201158136999,0.32174931483782354
HG00364,HG00364-0-2-1-0,1368350222,1244024674,1226293197,0.414652,0.376977,0.371604,17059985,ilmn_0.5x,0.20154603666990412,0.22507796692763699
HG00364,HG00364-1-0-1-0,4491922028,4027414167,4005512674,1.36119,1.22043,1.21379,41411417,ilmn_1x,0.4892329605937339,0.671841684301455
HG00364,HG00364-1-1-1-0,4524093484,4129849094,4113151967,1.37094,1.25147,1.24641,41683704,ilmn_1x,0.4924497492185034,0.6781595566497668
HG00364,HG00364-1-2-1-0,4068010970,3673781378,3662887785,1.23273,1.11327,1.10997,44171256,ilmn_1x,0.5218375972506261,0.7378048494884383
HG00365,HG00365-0-0-1-0,2007811666,1883932927,1844148957,0.608428,0.570889,0.558833,23352286,ilmn_0.5x,0.27588304974958,0.32280236614649566
HG00365,HG00365-0-2-1-0,2105460346,1915635528,1903937860,0.638018,0.580496,0.576951,26642166,ilmn_0.5x,0.31474957132738823,0.37797091822831497
HG00365,HG00365-1-0-1-0,4208275474,3817114655,3801185816,1.27523,1.1567,1.15187,38923824,ilmn_1x,0.45984462818911587,0.6158984552331709
HG00365,HG00365-1-1-0-0,10906766844,10301710750,10247321607,3.30508,3.12173,3.10525,66925995,ilmn_1x,0.7906612486728342,1.5638015193808423
HG00365,HG00365-1-2-1-0,4378693470,3998499479,3986049680,1.32688,1.21167,1.20789,46807374,ilmn_1x,0.5529805985542142,0.8051532816286334
HG00384,HG00384-0-0-1-0,2424156416,2271758609,2258138862,0.734593,0.688412,0.684285,29434098,ilmn_0.5x,0.34773335350843226,0.427301833648092
HG00384,HG00384-0-1-1-0,3627579606,3301311792,3286265850,1.09927,1.0004,0.995838,40361705,ilmn_0.5x,0.4768317015513116,0.6478520723249567
HG00384,HG00384-0-2-1-0,2024324724,1843892408,1829618831,0.613432,0.558755,0.55443,24276998,ilmn_0.5x,0.2868075633796389,0.33800399790025143
HG00384,HG00384-1-0-1-0,4366002524,3975187193,3951580306,1.32303,1.2046,1.19745,41269302,ilmn_1x,0.4875540191995097,0.6685599768410102
HG00384,HG00384-1-1-1-0,3917042076,3619469547,3599385641,1.18698,1.09681,1.09072,37252545,ilmn_1x,0.44010019942088185,0.5799974387996727
HG00384,HG00384-1-2-1-0,4103344064,3759239224,3746225742,1.24344,1.13916,1.13522,44191856,ilmn_1x,0.5220809648945836,0.7383139434621897
HG01500,HG01500-0-0-1-0,2207976964,2072775792,2053183542,0.669084,0.628114,0.622177,30213759,ilmn_0.5x,0.3569442399480214,0.44152383991652094
HG01500,HG01500-0-1-1-0,2192853106,2003800351,1991408838,0.664501,0.607212,0.603457,28887601,ilmn_0.5x,0.3412770580074695,0.4174522547443039
HG01500,HG01500-0-2-1-0,2005751120,1829030233,1815578700,0.607803,0.554252,0.550175,26505767,ilmn_0.5x,0.3131381585473806,0.3756221111285965
HG01500,HG01500-1-0-1-0,3970973538,3614773296,3590005370,1.20333,1.09539,1.08788,41624958,ilmn_1x,0.4917557261305458,0.6767930929031989
HG01500,HG01500-1-1-1-0,4392106196,3979680047,3959948726,1.33094,1.20596,1.19998,43375468,ilmn_1x,0.5124361870249154,0.7183340987002547
HG01500,HG01500-1-2-1-0,4659000810,4280091527,4255501781,1.41182,1.297,1.28955,51488975,ilmn_1x,0.6082888609483407,0.9372306010030301
HG01697,HG01697-0-0-1-0,2309332694,2159676896,2150343737,0.699798,0.654448,0.651619,29272796,ilmn_0.5x,0.345827737600392,0.42438456404360647
HG01697,HG01697-0-1-1-0,2337480906,2123744181,2115579309,0.708328,0.643559,0.641085,29283862,ilmn_0.5x,0.34595847091825765,0.4245844294159977
HG01697,HG01697-0-2-1-0,2149609726,1950049485,1942651240,0.651397,0.590924,0.588682,29225575,ilmn_0.5x,0.3452698704394543,0.4235321441868714
HG01697,HG01697-1-0-1-0,5021521006,4471071797,4456650844,1.52167,1.35487,1.3505,47769683,ilmn_1x,0.5643492817624222,0.8309144616488426
HG01697,HG01697-1-1-1-0,5709245976,5063523921,5037275440,1.73007,1.5344,1.52645,48728339,ilmn_1x,0.5756748085626991,0.857255156777392
HG01697,HG01697-1-2-1-0,5354713680,4812561619,4796723984,1.62264,1.45835,1.45355,55487737,ilmn_1x,0.6555300884574046,1.0657485318417372
HG01699,HG01699-0-0-1-0,2817709528,2647003575,2627312118,0.853851,0.802122,0.796155,39214842,ilmn_0.5x,0.4632827041604372,0.6222837740477636
HG01699,HG01699-0-1-1-0,2401268440,2197178048,2188563951,0.727657,0.665812,0.663201,32512409,ilmn_0.5x,0.384100406685054,0.48467132659956036
HG01699,HG01699-0-2-1-0,2625928958,2394384350,2383429300,0.795736,0.725571,0.722251,36169157,ilmn_0.5x,0.4273010933504056,0.5573951686995757
HG01699,HG01699-1-0-1-0,4927586322,4458838683,4443077454,1.49321,1.35116,1.34639,48459207,ilmn_1x,0.5724952929921377,0.8497899801212307
HG01699,HG01699-1-1-1-0,5293980574,4763762647,4746456386,1.60424,1.44356,1.43832,49339033,ilmn_1x,0.5828895250655619,0.8744041643702037
HG01699,HG01699-1-2-1-0,5136624984,4693878186,4675229686,1.55655,1.42239,1.41674,56908788,ilmn_1x,0.6723183328172797,1.1157126687461003
HG01756,HG01756-0-0-1-0,1821272004,1710066393,1696587076,0.551901,0.518202,0.514117,22595571,ilmn_0.5x,0.2669432465118476,0.3105321537787609
HG01756,HG01756-0-1-1-0,2328081156,2130808716,2117297840,0.705479,0.6457,0.641605,28244309,ilmn_0.5x,0.33367722992898896,0.40598108609539735
HG01756,HG01756-0-2-1-0,1679164394,1531886997,1520827757,0.508838,0.464208,0.460857,22255643,ilmn_0.5x,0.26292734959557673,0.30506881579704637
HG01756,HG01756-1-0-1-0,4072454900,3656381195,3641249334,1.23408,1.10799,1.10341,42128737,ilmn_1x,0.4977073527473059,0.688572366492357
HG01756,HG01756-1-1-1-0,5243857634,4701617238,4676197596,1.58905,1.42473,1.41703,45392174,ilmn_1x,0.5362614776936011,0.7684344151103863
HG01756,HG01756-1-2-1-0,4073698234,3707961587,3687579909,1.23445,1.12362,1.11745,42490060,ilmn_1x,0.5019760094083568,0.6971070292390067
HG01757,HG01757-0-0-1-0,1764184944,1653346263,1605637964,0.534601,0.501014,0.486557,21102056,ilmn_0.5x,0.2492989151154805,0.2867477292403516
HG01757,HG01757-0-1-1-0,1286729890,1173760599,1154766611,0.389918,0.355685,0.349929,16919734,ilmn_0.5x,0.19988911650326913,0.2230049565479945
HG01757,HG01757-0-2-1-0,1896550638,1724059412,1704910649,0.574712,0.522442,0.51664,22838721,ilmn_0.5x,0.26981581168797686,0.31445846390901444
HG01757,HG01757-1-0-1-0,4738215108,4280300360,4271687320,1.43582,1.29706,1.29445,43957282,ilmn_1x,0.5193097162677058,0.7325321170339661
HG01757,HG01757-1-1-1-0,4307495158,3874374610,3864876408,1.3053,1.17405,1.17117,39401043,ilmn_1x,0.465482475940657,0.6263907631623538
HG01757,HG01757-1-2-1-0,3452311792,3156052963,3145313843,1.04616,0.95638,0.953125,37557930,ilmn_1x,0.4437080066029186,0.5864619546036346
HG01761,HG01761-0-0-1-0,2050902536,1920316075,1872135901,0.621486,0.581914,0.567314,26357525,ilmn_0.5x,0.311386833000024,0.3730756068548095
HG01761,HG01761-0-1-1-0,1199252570,1092312558,1079920894,0.36341,0.331004,0.327249,16206432,ilmn_0.5x,0.19146219285423216,0.21252783897323166
HG01761,HG01761-0-2-1-0,2231962408,2021775391,2000172123,0.676352,0.612659,0.606113,28569917,ilmn_0.5x,0.3375239508908195,0.4117708740632988
HG01761,HG01761-1-0-1-0,3676593300,3345542863,3322628160,1.11412,1.0138,1.00686,37316901,ilmn_1x,0.44086049884294637,0.581356282117996
HG01761,HG01761-1-1-1-0,4209272980,3810810405,3790991051,1.27554,1.15479,1.14879,40795159,ilmn_1x,0.48195251119907606,0.6576883637028929
HG01761,HG01761-1-2-1-0,3511360644,3225498467,3209893674,1.06405,0.977424,0.972695,40224507,ilmn_1x,0.47521084941462816,0.6447587149932199
HG01762,HG01762-0-0-1-0,1946993396,1823065129,1799805089,0.589998,0.552444,0.545395,26310349,ilmn_0.5x,0.31082949746743477,0.3722665748197908
HG01762,HG01762-0-1-1-0,1803821538,1643692229,1624166721,0.546613,0.498089,0.492172,24212371,ilmn_0.5x,0.2860440623735204,0.3369340305545486
HG01762,HG01762-0-2-1-0,1947646320,1769762280,1741592475,0.590196,0.536292,0.527755,27573551,ilmn_0.5x,0.3257529195345407,0.394158647019193
HG01762,HG01762-1-0-1-0,5187566646,4676516357,4652471419,1.57199,1.41713,1.40984,50440848,ilmn_1x,0.5959063270377472,0.9061085641292835
HG01762,HG01762-1-1-1-0,4707539156,4231049445,4210981696,1.42653,1.28214,1.27606,47496488,ilmn_1x,0.5611217660589772,0.8235332758142861
HG01762,HG01762-1-2-1-0,4829827110,4408852096,4387744259,1.46358,1.33602,1.32962,52991273,ilmn_1x,0.626036954384362,0.9835982949638249
HG01770,HG01770-0-0-1-0,1950545822,1829070701,1800406069,0.591074,0.554264,0.545578,26224345,ilmn_0.5x,0.3098134493678756,0.3707933546974223
HG01770,HG01770-0-1-1-0,1474629458,1342896152,1327642434,0.446857,0.406938,0.402316,20981790,ilmn_0.5x,0.24787809700537414,0.2848568631238554
HG01770,HG01770-0-2-1-0,1651995266,1501725351,1473617003,0.500605,0.455068,0.446551,23780799,ilmn_0.5x,0.28094548660468455,0.32981810578284004
HG01770,HG01770-1-0-1-0,3374030976,3076510693,3064443679,1.02243,0.932276,0.928619,37310930,ilmn_1x,0.4407899576680886,0.581230129833387
HG01770,HG01770-1-1-1-0,3746825816,3402878922,3388548418,1.1354,1.03118,1.02683,38370538,ilmn_1x,0.45330812769131684,0.6038699400132009
HG01770,HG01770-1-2-1-0,4033686556,3710821980,3694867018,1.22233,1.12449,1.11966,48271857,ilmn_1x,0.5702819469680875,0.8446259759770984
HG01771,HG01771-0-0-1-0,2146807468,2014303156,1975297893,0.650548,0.610395,0.598575,29125459,ilmn_0.5x,0.3440871036898209,0.42172727886906547
HG01771,HG01771-0-1-1-0,1691002190,1542456544,1519220815,0.512425,0.467411,0.46037,23404626,ilmn_0.5x,0.2765013925886448,0.32365665770670776
HG01771,HG01771-0-2-1-0,1876014638,1708313283,1679714487,0.568489,0.517671,0.509004,25065020,ilmn_0.5x,0.2961172263663702,0.3511434514141684
HG01771,HG01771-1-0-1-0,4319702300,3924191473,3903403907,1.309,1.18915,1.18285,45502546,ilmn_1x,0.537565408450828,0.7712501557083944
HG01771,HG01771-1-1-1-0,4584074610,4148145462,4129835051,1.38911,1.25701,1.25147,45844229,ilmn_1x,0.5416020388726884,0.7800175613940477
HG01771,HG01771-1-2-1-0,4396553448,4031324161,4007229393,1.33229,1.22161,1.21431,50278923,ilmn_1x,0.5939933510305716,0.9013857427425112
HG01777,HG01777-0-1-0-0,9234723610,8572089404,8449233388,2.7984,2.5976,2.56037,61427254,ilmn_0.5x,0.7256993243086389,1.2935304177118248
HG01777,HG01777-0-2-1-0,2479181722,2247378904,2199359545,0.751267,0.681024,0.666473,30721201,ilmn_0.5x,0.3629391411123454,0.45089008811858416
HG01777,HG01777-1-0-1-0,4396476740,3967959880,3941963569,1.33227,1.20241,1.19453,44116822,ilmn_1x,0.5211945159724134,0.7364608516722106
HG01777,HG01777-1-1-0-0,10358617818,9753364669,9628715981,3.13898,2.95557,2.91779,63795671,ilmn_1x,0.7536797158231463,1.40112262167683
HG01777,HG01777-1-2-1-0,3892692118,3552199198,3519573987,1.1796,1.07642,1.06654,44568274,ilmn_1x,0.5265279533316316,0.74766240364593906
HG01781,HG01781-0-0-1-0,2332391300,2189424651,2132538874,0.706785,0.663462,0.646224,31434425,ilmn_0.5x,0.371365143272245,0.46420470479149173
HG01781,HG01781-0-1-1-0,1996930304,1822362526,1793230096,0.60513,0.552231,0.543403,27444081,ilmn_0.5x,0.3242233657062312,0.3918926801831162
HG01781,HG01781-0-2-1-0,2467258158,2247222317,2195499532,0.747654,0.680976,0.665303,31433282,ilmn_0.5x,0.3713516399121944,0.4641832245714894
HG01781,HG01781-1-0-1-0,4626579600,4223196237,4189159176,1.40199,1.27976,1.26944,46230523,ilmn_1x,0.5461657020112765,0.7900231299667704
HG01781,HG01781-1-1-1-0,4844525450,4393468820,4353215089,1.46804,1.33135,1.31916,47059057,ilmn_1x,0.5559539722791731,0.8118270558849663
HG01781,HG01781-1-2-1-0,5157866154,4743746842,4705574042,1.56299,1.4375,1.42593,54088937,ilmn_1x,0.6390047165948934,1.0188903860944243
HG01784,HG01784-0-0-1-0,2411957126,2256105647,2232826279,0.730896,0.683668,0.676614,32197207,ilmn_0.5x,0.3803766218253119,0.47864344007522514
HG01784,HG01784-0-1-1-0,3277938200,2984947011,2963779227,0.993315,0.904529,0.898115,37099668,ilmn_0.5x,0.4382941161536349,0.5767769044294212
HG01784,HG01784-0-2-1-0,2001144110,1815963901,1800830379,0.606407,0.550292,0.545706,26087297,ilmn_0.5x,0.308194369325687,0.3684502433472407
HG01784,HG01784-1-0-1-0,4478468834,4076442961,4057926133,1.35711,1.23529,1.22967,44013732,ilmn_1x,0.5199766144959291,0.7339204564668237
HG01784,HG01784-1-1-1-0,4303448056,3898668698,3873190468,1.30408,1.18141,1.17369,42399654,ilmn_1x,0.5009079562423558,0.694964743812469
HG01784,HG01784-1-2-1-0,3914310184,3598234568,3579080520,1.18615,1.09037,1.08457,44410510,ilmn_1x,0.5246641352257428,0.7437336410781448
HG01879,HG01879-0-0-1-0,1760826100,1613231754,1610446408,0.533584,0.488858,0.488014,20964186,ilmn_0.5x,0.24767012399546018,0.28458038631796256
HG01879,HG01879-0-1-1-0,2268949858,2085271193,2079970187,0.687561,0.6319,0.630294,23999505,ilmn_0.5x,0.28352927126193533,0.3334178856704531
HG01879,HG01879-0-2-1-0,1812475348,1676845638,1672390987,0.549235,0.508135,0.506785,20754449,ilmn_0.5x,0.24519229877503732,0.2812922625390467
HG01879,HG01879-1-0-1-0,4671006216,4333644583,4313575324,1.41546,1.31323,1.30714,38914252,ilmn_1x,0.45973154493241875,0.615689123942437
HG01879,HG01879-1-1-1-0,4124636272,3787637492,3782010779,1.24989,1.14777,1.14606,42317692,ilmn_1x,0.49993966018245084,0.6930265082060484
HG01879,HG01879-1-2-1-0,4054578010,3627005504,3611240198,1.22866,1.09909,1.09432,35085717,ilmn_1x,0.4145013729538378,0.5352914408725419
HG01886,HG01886-0-0-1-0,1965013132,1791331422,1787873673,0.595459,0.542828,0.54178,21225010,ilmn_0.5x,0.2507514891589343,0.28868456032011813
HG01886,HG01886-0-1-1-0,1947349756,1774008249,1770232041,0.590106,0.537578,0.536434,21999639,ilmn_0.5x,0.25990292773520335,0.30097392265088807
HG01886,HG01886-0-2-1-0,1550104694,1426685297,1422885986,0.469729,0.432329,0.431178,20603066,ilmn_0.5x,0.24340386556895888,0.27892567592784706
HG01886,HG01886-1-0-1-0,4668679306,4307133966,4292380360,1.41475,1.30519,1.30072,39425914,ilmn_1x,0.4657763010218641,0.626940615796979
HG01886,HG01886-1-1-1-0,4801353946,4395296222,4385380807,1.45496,1.33191,1.3289,47529498,ilmn_1x,0.5615117449874741,0.8244222519926326
HG01886,HG01886-1-2-1-0,4942499384,4398894552,4379967004,1.49773,1.333,1.32726,41728150,ilmn_1x,0.4929748326312866,0.6791946368424673
HG01889,HG01889-0-0-0-0,9891192184,9287356321,9212667644,2.99733,2.81435,2.79172,64337833,ilmn_0.5x,0.7600847977932084,1.427469742212194
HG01889,HG01889-0-1-1-0,1304563292,1184728333,1180849445,0.395322,0.359009,0.357833,15377263,ilmn_0.5x,0.18166642071964073,0.20048522687540715
HG01889,HG01889-0-2-1-0,1455003686,1332334155,1326947079,0.44091,0.403738,0.402105,19150827,ilmn_0.5x,0.22624716732171746,0.25650279401648485
HG01889,HG01889-1-0-1-0,3198408916,2937368270,2924544293,0.969215,0.890112,0.886226,29616043,ilmn_1x,0.3498828450608519,0.43060269396551726
HG01889,HG01889-1-1-1-0,3326565032,3029616435,3022450428,1.00805,0.918066,0.915894,36255575,ilmn_1x,0.42832203243077055,0.5591794399029223
HG01889,HG01889-1-2-1-0,3440691134,3028342750,3015028174,1.04263,0.91768,0.913645,31991114,ilmn_1x,0.37794184668715025,0.47472169654115026
